Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:57:33.573463,12:57:41.402745,-1,-1.0
1,12:57:33.573463,12:57:41.503645,-1,-1.0
1,12:57:33.573463,12:57:41.603169,-1,-1.0
1,12:57:33.573463,12:57:41.702646,-1,-1.0
1,12:57:33.573463,12:57:41.802783,-1,-1.0
1,12:57:33.573463,12:57:41.925169,-1,-1.0
1,12:57:33.573463,12:57:42.004172,-1,-1.0
1,12:57:33.573463,12:57:42.102830,-1,-1.0
1,12:57:33.573463,12:57:42.202386,-1,-1.0
1,12:57:33.573463,12:57:42.320929,-1,-1.0
1,12:57:33.573463,12:57:42.398831,-1,-1.0
1,12:57:33.573463,12:57:42.525798,-1,-1.0
1,12:57:33.573463,12:57:42.599555,-1,-1.0
1,12:57:33.573463,12:57:42.698175,-1,-1.0
1,12:57:33.573463,12:57:42.798466,-1,-1.0
1,12:57:33.573463,12:57:42.897421,-1,-1.0
1,12:57:33.573463,12:57:42.998054,-1,-1.0
1,12:57:33.573463,12:57:43.099229,-1,-1.0
1,12:57:33.573463,12:57:43.198495,-1,-1.0
1,12:57:33.573463,12:57:43.298199,-1,-1.0
1,12:57:33.573463,12:57:43.396652,-1,-1.0
1,12:57:33.573463,12:57:43.496775,-1,-1.0
1,12:57:33.573463,12:57:43.597034,-1,-1.0
1,12:57:33.573463,12:57:43.696634,-1,-1.0
1,12:57:33.573463,12:57:43.796636,-1,-1.0
1,12:57:33.573463,12:57:43.896151,-1,-1.0
1,12:57:33.573463,12:57:43.992237,-1,-1.0
1,12:57:33.573463,12:57:44.092023,-1,-1.0
1,12:57:33.573463,12:57:44.191636,-1,-1.0
1,12:57:33.573463,12:57:44.292497,-1,-1.0
1,12:57:33.573463,12:57:44.391320,-1,-1.0
1,12:57:33.573463,12:57:44.490798,-1,-1.0
1,12:57:33.573463,12:57:44.591236,-1,-1.0
1,12:57:33.573463,12:57:44.691035,-1,-1.0
1,12:57:33.573463,12:57:44.793650,-1,-1.0
1,12:57:33.573463,12:57:44.891630,-1,-1.0
1,12:57:33.573463,12:57:44.990906,-1,-1.0
1,12:57:33.573463,12:57:45.090259,-1,-1.0
1,12:57:33.573463,12:57:45.191154,-1,-1.0
1,12:57:33.573463,12:57:45.292536,-1,-1.0
1,12:57:33.573463,12:57:45.389973,-1,-1.0
1,12:57:33.573463,12:57:45.486336,-1,-1.0
1,12:57:33.573463,12:57:45.586433,-1,-1.0
1,12:57:33.573463,12:57:47.603773,-1,-1.0
1,12:57:33.573463,12:57:47.681226,-1,-1.0
1,12:57:33.573463,12:57:47.780626,-1,-1.0
1,12:57:33.573463,12:57:47.882155,-1,-1.0
1,12:57:33.573463,12:57:47.979191,-1,-1.0
1,12:57:33.573463,12:57:48.081209,-1,-1.0
1,12:57:33.573463,12:57:48.178739,-1,-1.0
1,12:57:33.573463,12:57:48.280694,-1,-1.0
1,12:57:33.573463,12:57:48.391439,-1,-1.0
1,12:57:33.573463,12:57:48.480678,-1,-1.0
1,12:57:33.573463,12:57:48.576719,-1,-1.0
1,12:57:33.573463,12:57:48.675057,-1,-1.0
1,12:57:33.573463,12:57:48.776240,-1,-1.0
1,12:57:33.573463,12:57:48.874823,-1,-1.0
1,12:57:33.573463,12:57:48.986617,-1,-1.0
1,12:57:33.573463,12:57:49.074794,-1,-1.0
1,12:57:33.573463,12:57:49.174632,-1,-1.0
1,12:57:33.573463,12:57:49.292508,-1,-1.0
1,12:57:33.573463,12:57:49.375042,-1,-1.0
1,12:57:33.573463,12:57:49.473774,-1,-1.0
1,12:57:33.573463,12:57:49.588054,-1,-1.0
1,12:57:33.573463,12:57:49.674954,-1,-1.0
1,12:57:33.573463,12:57:49.776298,-1,-1.0
1,12:57:33.573463,12:57:49.873391,-1,-1.0
1,12:57:33.573463,12:57:49.974375,-1,-1.0
1,12:57:33.573463,12:57:50.098044,-1,-1.0
1,12:57:33.573463,12:57:50.171746,-1,-1.0
1,12:57:33.573463,12:57:50.285219,-1,-1.0
1,12:57:33.573463,12:57:50.373799,-1,-1.0
1,12:57:33.573463,12:57:50.470366,-1,-1.0
1,12:57:33.573463,12:57:50.570427,-1,-1.0
1,12:57:33.573463,12:57:50.669219,-1,-1.0
1,12:57:33.573463,12:57:50.768722,-1,-1.0
1,12:57:33.573463,12:57:50.869525,-1,-1.0
1,12:57:33.573463,12:57:50.968962,-1,-1.0
1,12:57:33.573463,12:57:51.068601,-1,-1.0
1,12:57:33.573463,12:57:51.168133,-1,-1.0
1,12:57:33.573463,12:57:51.268511,-1,-1.0
1,12:57:33.573463,12:57:51.368166,-1,-1.0
1,12:57:33.573463,12:57:51.467822,-1,-1.0
1,12:57:33.573463,12:57:51.568540,-1,-1.0
1,12:57:33.573463,12:57:51.667842,-1,-1.0
1,12:57:33.573463,12:57:51.763529,-1,-1.0
1,12:57:33.573463,12:57:51.863375,-1,-1.0
1,12:57:33.573463,12:57:51.963581,-1,-1.0
1,12:57:33.573463,12:57:52.063043,-1,-1.0
1,12:57:33.573463,12:57:52.163579,-1,-1.0
1,12:57:33.573463,12:57:52.262875,-1,-1.0
1,12:57:33.573463,12:57:52.363731,-1,-1.0
1,12:57:33.573463,12:57:52.462594,-1,-1.0
1,12:57:33.573463,12:57:52.565828,-1,-1.0
1,12:57:33.573463,12:57:52.678907,-1,-1.0
1,12:57:33.573463,12:57:52.764416,-1,-1.0
1,12:57:33.573463,12:57:52.862975,-1,-1.0
1,12:57:33.573463,12:57:52.962489,-1,-1.0
1,12:57:33.573463,12:57:53.062614,-1,-1.0
1,12:57:33.573463,12:57:53.162196,-1,-1.0
1,12:57:33.573463,12:57:53.281129,-1,-1.0
1,12:57:33.573463,12:57:53.360166,-1,-1.0
1,12:57:33.573463,12:57:53.458532,-1,-1.0
1,12:57:33.573463,12:57:53.559569,-1,-1.0
1,12:57:33.573463,12:57:53.659872,-1,-1.0
1,12:57:33.573463,12:57:53.758864,-1,-1.0
1,12:57:33.573463,12:57:53.858444,-1,-1.0
1,12:57:33.573463,12:57:53.958460,-1,-1.0
1,12:57:33.573463,12:57:54.059018,-1,-1.0
1,12:57:33.573463,12:57:54.157876,-1,-1.0
1,12:57:33.573463,12:57:54.257388,-1,-1.0
1,12:57:33.573463,12:57:54.356973,-1,-1.0
1,12:57:33.573463,12:57:54.459604,-1,-1.0
1,12:57:33.573463,12:57:54.558193,-1,-1.0
1,12:57:33.573463,12:57:54.657916,-1,-1.0
1,12:57:33.573463,12:57:54.759121,-1,-1.0
1,12:57:33.573463,12:57:54.853665,-1,-1.0
1,12:57:33.573463,12:57:54.952327,-1,-1.0
1,12:57:33.573463,12:57:55.070593,-1,-1.0
1,12:57:33.573463,12:57:55.154376,-1,-1.0
1,12:57:33.573463,12:57:55.252977,-1,-1.0
1,12:57:33.573463,12:57:55.353586,-1,-1.0
1,12:57:33.573463,12:57:55.451372,-1,-1.0
1,12:57:33.573463,12:57:55.553034,-1,-1.0
1,12:57:33.573463,12:57:55.652367,-1,-1.0
1,12:57:33.573463,12:57:55.751600,-1,-1.0
1,12:57:33.573463,12:57:55.851714,-1,-1.0
1,12:57:33.573463,12:57:55.952093,-1,-1.0
1,12:57:33.573463,12:57:56.051204,-1,-1.0
1,12:57:33.573463,12:57:56.151306,-1,-1.0
1,12:57:33.573463,12:57:56.250823,-1,-1.0
1,12:57:33.573463,12:57:56.360372,-1,-1.0
1,12:57:33.573463,12:57:56.447699,-1,-1.0
1,12:57:33.573463,12:57:56.550220,-1,-1.0
1,12:57:33.573463,12:57:56.647113,-1,-1.0
1,12:57:33.573463,12:57:56.747107,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:57:56.748963,12:57:56.853874,-1,-1.0
2,12:57:56.748963,12:57:56.948797,-1,-1.0
2,12:57:56.748963,12:57:57.049497,-1,-1.0
2,12:57:56.748963,12:57:57.146675,-1,-1.0
2,12:57:56.748963,12:57:57.246405,-1,-1.0
2,12:57:56.748963,12:57:57.366544,-1,-1.0
2,12:57:56.748963,12:57:57.447102,-1,-1.0
2,12:57:56.748963,12:57:57.546959,-1,-1.0
2,12:57:56.748963,12:57:57.646699,-1,-1.0
2,12:57:56.748963,12:57:57.746449,-1,-1.0
2,12:57:56.748963,12:57:57.846020,-1,-1.0
2,12:57:56.748963,12:57:57.941882,-1,-1.0
2,12:57:56.748963,12:57:58.041532,-1,-1.0
2,12:57:56.748963,12:57:58.141737,-1,-1.0
2,12:57:56.748963,12:57:58.241230,-1,-1.0
2,12:57:56.748963,12:57:58.342463,-1,-1.0
2,12:57:56.748963,12:57:58.441187,-1,-1.0
2,12:57:56.748963,12:57:58.552532,-1,-1.0
2,12:57:56.748963,12:57:58.640969,-1,-1.0
2,12:57:56.748963,12:57:58.752600,-1,-1.0
2,12:57:56.748963,12:57:58.841553,-1,-1.0
2,12:57:56.748963,12:57:58.942070,-1,-1.0
2,12:57:56.748963,12:57:59.064055,-1,-1.0
2,12:57:56.748963,12:57:59.141926,-1,-1.0
